ECR,Player,Tipoff (ET),Opponent,Today,Yesterday,Difference,Name,Team,Pos,Key,Price,run_ts
-,Keon Ellis (SAC - SG),8:00PM,@MIN,"$3,500",-,-,Keon Ellis,SAC,SG,Keon Ellis-SAC,3500,2023-01-30 15:57:09.660005
-,Cole Swider (LAL - SF),7:30PM,@BKN,"$3,500",-,-,Cole Swider,LAL,SF,Cole Swider-LAL,3500,2023-01-30 15:57:09.660005
305,Malaki Branham (SAS - SF),8:00PM,WAS,"$4,000",-,-,Malaki Branham,SAS,SF,Malaki Branham-SAS,4000,2023-01-30 15:57:09.660005
204,Jeremy Sochan (SAS - SF/PF),8:00PM,WAS,"$5,600",-,-,Jeremy Sochan,SAS,SF/PF,Jeremy Sochan-SAS,5600,2023-01-30 15:57:09.660005
-,Blake Wesley (SAS - SG),8:00PM,WAS,"$3,600",-,-,Blake Wesley,SAS,SG,Blake Wesley-SAS,3600,2023-01-30 15:57:09.660005
-,Max Christie (LAL - SG),7:30PM,@BKN,"$3,700",-,-,Max Christie,LAL,SG,Max Christie-LAL,3700,2023-01-30 15:57:09.660005
255,AJ Griffin (ATL - SF),10:00PM,@POR,"$4,000",-,-,AJ Griffin,ATL,SF,AJ Griffin-ATL,4000,2023-01-30 15:57:09.660005
-,Tyrese Martin (ATL - SG),10:00PM,@POR,"$3,500",-,-,Tyrese Martin,ATL,SG,Tyrese Martin-ATL,3500,2023-01-30 15:57:09.660005
-,Jaylin Williams (OKC - PF),8:00PM,GSW,"$3,700",-,-,Jaylin Williams,OKC,PF,Jaylin Williams-OKC,3700,2023-01-30 15:57:09.660005
-,Chet Holmgren (OKC - PF),8:00PM,GSW,"$3,500",-,-,Chet Holmgren,OKC,PF,Chet Holmgren-OKC,3500,2023-01-30 15:57:09.660005
175,Jalen Williams (OKC - SF/SG),8:00PM,GSW,"$5,900",-,-,Jalen Williams,OKC,SF/SG,Jalen Williams-OKC,5900,2023-01-30 15:57:09.660005
-,Jabari Walker (POR - SF),10:00PM,ATL,"$3,700",-,-,Jabari Walker,POR,SF,Jabari Walker-POR,3700,2023-01-30 15:57:09.660005
-,Johnny Davis (WAS - SG),8:00PM,@SAS,"$3,500",-,-,Johnny Davis,WAS,SG,Johnny Davis-WAS,3500,2023-01-30 15:57:09.660005
74,Paolo Banchero (ORL - PF/SF),7:00PM,@PHI,"$7,400",-,-,Paolo Banchero,ORL,PF/SF,Paolo Banchero-ORL,7400,2023-01-30 15:57:09.660005
-,Caleb Houstan (ORL - SF),7:00PM,@PHI,"$3,800",-,-,Caleb Houstan,ORL,SF,Caleb Houstan-ORL,3800,2023-01-30 15:57:09.660005
